"Id","Predicted","P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22"
"Estimation",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,0.02,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.010627309682187731,0.07,0.0,0.0,0.18210526315789471,0.03,0.0,0.0,0.17,0.0,0.0,0.0
1,3,0.17,0.06,0.31,0.0,0.08,0.0,0.02,0.02,0.08,0.0,0.13,0.02,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.0
2,6,0.0,0.24,0.0,0.0,0.09,0.48,0.27,0.05,0.09,0.05,0.41,0.0,0.11,0.02,0.0,0.01,0.01,0.0,0.0,0.02,0.0,0.0
3,2,0.39,0.3932885906040269,0.14,0.01,0.11,0.05,0.0,0.32,0.0,0.06,0.0,0.0,0.0,0.01,0.07,0.0,0.05,0.01,0.0,0.18,0.0,0.02
4,19,0.02,0.0,0.05021064301552107,0.0,0.0,0.02005813953488372,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.1316273849607183,0.15125994873870227,0.1201014154346847,0.04,0.0
5,3,0.04,0.13,0.39,0.05,0.03,0.27,0.05,0.13,0.22464513644000825,0.0,0.0,0.06,0.02,0.0,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.0
6,17,0.0,0.03,0.09,0.19,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.1507837582625118,0.0,0.0,0.1411111111111111,0.021894869373622915,0.22111111111111112,0.05,0.04,0.1111111111111111,0.03,0.11
7,12,0.0,0.0,0.0,0.0,0.01,0.01,0.06,0.02,0.01,0.0,0.08017279999999999,0.4152067669172932,0.0,0.05,0.03,0.0,0.01,0.18,0.4108040058128515,0.20076923076923076,0.26,0.02
8,22,0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.04,0.0,0.0,0.02,0.0,0.03,0.15,0.01,0.17,0.05,0.03,0.0,0.03,0.23,0.47
9,14,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.0,0.0001728,0.0,0.0,0.0,0.01,0.1007837582625118,0.01,0.01,0.091,0.05383333333333333,0.01,0.0,0.0,0.01
10,7,0.02,0.15125994873870227,0.1,0.05,0.0,0.0,0.2753040935672515,0.01,0.020783758262511807,0.05,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,6.41025641025641e-05
11,16,0.03,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.010263591433278419,0.02,0.0,0.0,0.07,0.01,0.14,0.4577215608465609,0.09,0.0,0.02,0.01,0.05,0.0
12,16,0.0101728,0.030210643015521062,0.0,0.06,0.0,0.05010221465076661,0.0,0.02,0.01,0.01,0.0,0.0,0.09,0.0,0.04,0.22875494071146246,0.21076923076923076,0.0,0.0,0.04,0.13,0.06463414634146342
13,2,0.09,0.27,0.0,0.0,0.01,0.17,0.0,0.08,0.21,0.15,0.01,0.0,0.0,0.0,0.01,0.06,0.0,0.01,0.02,0.0,0.02,0.0
14,3,0.18064285714285716,0.0,0.192,0.02,0.0,0.07,0.06,0.17,0.01,0.0,0.06,0.0,0.0,0.01,0.03,0.13,0.0,0.02,0.04,0.01,0.0,0.0
15,21,0.01,0.01,0.0,5.813953488372093e-05,0.02,0.0,0.04,0.0,0.05,0.0,0.01,0.0,0.11,0.2,0.01,0.07,0.060783758262511804,0.0007837582625118036,0.2310759493670886,0.03,0.3214285714285714,0.2310759493670886
16,4,0.03,0.0,0.02,0.26,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.06,0.01,0.0,0.0,0.0,0.0
17,12,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,5.813953488372093e-05,0.0,0.02,0.33162738496071825,0.01,0.10125,0.15,0.03,0.13,0.02,0.0,0.07289915966386555,0.0,0.03
18,13,0.01,0.0,0.0,0.01,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.24416666666666667,0.02,0.01,0.22,0.0,0.24416666666666667,0.09,0.0,0.023329434966061272,0.04
19,17,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.00026359143327841844,0.0,0.0,0.0,0.0,0.11,0.03,0.38,0.24334554773898864,0.1426111111111111,0.0,0.0,0.0
20,16,0.0,0.0,0.0,0.07,0.0,0.010058139534883721,0.0,0.01,0.0,0.0,0.0,0.0,0.16,0.0,0.01,0.29102941176470587,0.08,0.15,0.0,0.03,0.01,0.01
21,14,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.34,0.0,0.0,0.1,0.1813157894736842,0.04,0.02,0.05,0.17
22,16,0.0,0.02,0.0,0.12,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.04,0.28,0.11,0.0,0.3018918918918919,0.03,0.0,0.21,0.01,0.08,0.01
23,2,0.01,0.13,0.01,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
24,21,0.0,0.0,0.05,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.08,0.03,0.0,0.03,0.04,0.0,0.02,0.0,0.12342857142857143,0.06
25,18,0.01,0.01,0.0201728,0.07,0.0,0.14,0.01,0.02,0.0,0.0,0.06,0.0,0.0,0.01,0.27,0.07,0.0,0.44,0.0,0.0,0.31,0.01
26,10,0.07102941176470588,0.151,0.02,0.08,0.06,0.18,0.12,0.01,0.0,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.01,0.09,0.0
27,5,0.1,0.0,0.16,0.0,0.31,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.050172800000000004
28,1,0.3690072663489668,0.17,0.0,0.30808958018635435,0.15337064676616918,0.08811610538529337,0.0,0.14,0.04,0.0,0.02,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.01,0.02
29,7,0.05032679738562092,0.18,0.1,0.02,0.06,0.07,0.55,0.0,0.01,0.08,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.09,0.0,5.813953488372093e-05,0.03,0.0
30,14,0.0,0.0,0.09,0.04,0.0,0.02,0.04,0.0,0.01,0.0,0.0,0.0,0.01,0.18,0.01,0.03,0.05,0.16,0.0,0.0,0.0,0.05
31,21,0.02,0.0,5.555555555555556e-05,0.02,0.0301728,0.15,0.0101728,0.03005813953488372,0.01,0.0,0.0001728,0.04,0.09066666666666666,0.0,0.11,0.02,0.010783758262511805,0.04,0.18,0.35,0.44,0.03
