"Id","Predicted","P_1","P_2","P_3","P_4","P_5","P_6","P_7","P_8","P_9","P_10","P_11","P_12","P_13","P_14","P_15","P_16","P_17","P_18","P_19","P_20","P_21","P_22"
"Estimation",0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,0.04718311178863743,0.047182996091237495,0.04718315433287626,0.04718285707272903,0.04718267408413336,0.04718293346015533,0.047182833642113516,0.047182829547000156,0.04718304282589714,0.04718278406483435,0.04718316531020483,0.04718311976013164,0.047182338073177045,0.047182747145403416,0.04718315024673771,0.04718299970003482,0.04718282698991387,0.04718283931632712,0.04718313798621194,0.04718261126712527,0.04718274122938927,0.047183295098786694
1,4,0.04713574175418166,0.04713559618018862,0.04713578073119046,0.047135920927713425,0.047135650808676335,0.04713543877602524,0.04713539651411636,0.04713537346031679,0.04713566651206155,0.0471350069860224,0.04713578593004077,0.04713588011232055,0.04713548625980772,0.04713582634153161,0.0471356566972406,0.04713566849778423,0.047135854359267704,0.04713579132172294,0.04713546388123539,0.047135626060398124,0.04713574483888455,0.047135669682181525
2,3,0.04717325185137974,0.04717328313130524,0.047173324962069406,0.04717315590193908,0.047173259517639975,0.0471732665544371,0.04717328715030842,0.04717319552284346,0.04717321684450819,0.04717309682184992,0.04717324065139899,0.04717316549784745,0.04717327528446311,0.04717327660134309,0.047173228952997526,0.04717326598073056,0.04717319429961724,0.047172893443762305,0.04717320699888371,0.04717331274028805,0.0471732516569651,0.047173278272978014
3,7,0.04717299888687654,0.04717301182672313,0.047172985475969396,0.047172922204530836,0.047172959432454045,0.047172953435156394,0.04717303008872693,0.04717294176780164,0.047172922277883944,0.04717281176030861,0.047172878061401254,0.04717292206140783,0.047172934861527294,0.04717289809802213,0.04717297221989489,0.047172925000704406,0.047173023822587416,0.04717278912132331,0.04717293059556601,0.04717297323587648,0.04717299943874665,0.04717290630300828
4,13,0.04714949172838166,0.04714965747052407,0.04714957280921303,0.04714930631369465,0.04714932930361873,0.0471494866600941,0.04714920856816542,0.04714936482967387,0.04714953328171411,0.04714947745040647,0.04714918913320895,0.04714896487634535,0.04714970603999379,0.0471493611685365,0.047149350504573334,0.04714898169595355,0.047149360504210744,0.04714951548063089,0.047149524335115406,0.04714963269661386,0.04714917824209694,0.04714931214355228
5,10,0.047146180312754186,0.04714623868035515,0.04714624366406065,0.04714604703026829,0.04714597630982501,0.047146261671406925,0.047146094043570654,0.04714627721191392,0.047146211985856314,0.04714634390161127,0.047145830070121984,0.047146168480792276,0.04714628494847711,0.04714601666243846,0.04714585054162936,0.04714618969343207,0.047146257719771205,0.04714621299583609,0.04714621049285179,0.047146087415632885,0.04714631639498788,0.047146287136869997
6,14,0.04712953184552891,0.04712957077949206,0.04712943929923268,0.04712960932071699,0.04712930372826198,0.04712940595270258,0.04712946567603467,0.04712942201749477,0.04712900115514806,0.0471292926808583,0.04712926175084175,0.047129441189414145,0.04712914769689675,0.04712963851412037,0.04712953711385025,0.0471294028654164,0.04712954606247251,0.047129507667107384,0.047129260941868936,0.047129482501678796,0.04712930585115859,0.04712957510061501
7,16,0.047111671328109554,0.04711170890328931,0.04711133208833752,0.047111655656361225,0.0471117507128008,0.04711170016996212,0.04711177557765209,0.04711157162066867,0.047111089362495744,0.04711152851389811,0.047111501673346615,0.047111709727023325,0.04711142299791182,0.04711165581468182,0.04711132763745992,0.04711179198880752,0.047111606886114946,0.04711169563058282,0.04711169256565798,0.047111677846044336,0.04711163509654924,0.047111497407132975
8,12,0.04714655941214317,0.0471466651287344,0.04714664388693287,0.04714661928592373,0.04714687794272073,0.04714640117049984,0.047147001492687905,0.04714702316198792,0.047146750002193386,0.047146686368403364,0.047146907838357156,0.04714705427137907,0.04714681423037403,0.047146963935223433,0.0471468533890725,0.047146979853974584,0.04714669201680144,0.047146646526290976,0.04714669020412667,0.04714661595025022,0.047146814346239845,0.04714703566579204
9,20,0.047153828825822905,0.04715361509246139,0.047153740070212405,0.04715349148158889,0.0471537400256598,0.04715357950376283,0.047153312311673204,0.04715356849172565,0.04715365256207148,0.047153836798985035,0.04715337113561093,0.04715337677689576,0.047153608329259696,0.04715375791093386,0.047153647409588655,0.04715330776831734,0.04715384712651383,0.04715376864518443,0.047153572254428684,0.047153946240003124,0.04715356101904989,0.04715353873407575
10,6,0.04711372659397233,0.04711370994410344,0.04711388669865797,0.04711353979890761,0.04711347233500529,0.04711391092357501,0.04711380044527256,0.04711343817843222,0.04711371857212917,0.04711365933355033,0.04711358482862404,0.047113815067477444,0.04711372562380141,0.047113530139305915,0.047113728933235496,0.047113595760363045,0.047113676390906856,0.047113657955128604,0.04711376528683419,0.047113303457002195,0.04711363338756082,0.047113790812554124
11,22,0.04717306458106451,0.04717316391467892,0.04717279884606865,0.04717324955270126,0.04717298309906895,0.04717292927405551,0.04717285206688273,0.04717310410587581,0.04717308452916072,0.047173282129197254,0.04717267961978774,0.04717258940555155,0.04717307859424328,0.047172956615542994,0.04717321388319413,0.047173272060543156,0.04717303265122721,0.04717282909396825,0.047172951368343326,0.04717282667194278,0.04717301204650249,0.04717332674160146
12,19,0.04710604819387557,0.04710624038058453,0.047105847171161015,0.047106216677310346,0.04710615388230494,0.047106080606505965,0.04710573887378242,0.047106349573584366,0.04710622767130329,0.047106039231303416,0.04710632587369628,0.047105908029369856,0.04710585803300886,0.04710611434869677,0.04710611591854467,0.04710631096279389,0.047106268691163286,0.04710570820731637,0.04710635526852794,0.04710576775622961,0.04710620711319223,0.04710621093650819
